X	Y	Z	Vx	Vy	Vz
2.6263E-01	1.2121E-01	0.0000E+00	-1.1783E-12	-9.3881E-13	0.0000E+00
2.8283E-01	1.2121E-01	0.0000E+00	-1.1348E-12	-9.3988E-13	0.0000E+00
3.0303E-01	1.2121E-01	0.0000E+00	-1.0767E-12	-9.4074E-13	0.0000E+00
3.2323E-01	1.2121E-01	0.0000E+00	-1.0068E-12	-9.4140E-13	0.0000E+00
3.4343E-01	1.2121E-01	0.0000E+00	-9.2798E-13	-9.4186E-13	0.0000E+00
3.6364E-01	1.2121E-01	0.0000E+00	-8.4284E-13	-9.4211E-13	0.0000E+00
3.8384E-01	1.2121E-01	0.0000E+00	-7.5395E-13	-9.4219E-13	0.0000E+00
4.0404E-01	1.2121E-01	0.0000E+00	-6.6360E-13	-9.4209E-13	0.0000E+00
4.2424E-01	1.2121E-01	0.0000E+00	-5.7400E-13	-9.4184E-13	0.0000E+00
4.4444E-01	1.2121E-01	0.0000E+00	-4.8703E-13	-9.4144E-13	0.0000E+00
4.6465E-01	1.2121E-01	0.0000E+00	-4.0488E-13	-9.4091E-13	0.0000E+00
4.8485E-01	1.2121E-01	0.0000E+00	-3.2927E-13	-9.4032E-13	0.0000E+00
5.0505E-01	1.2121E-01	0.0000E+00	-2.6102E-13	-9.3972E-13	0.0000E+00
5.2525E-01	1.2121E-01	0.0000E+00	-1.9989E-13	-9.3916E-13	0.0000E+00
5.4545E-01	1.2121E-01	0.0000E+00	-1.4475E-13	-9.3870E-13	0.0000E+00
5.6566E-01	1.2121E-01	0.0000E+00	-9.3978E-14	-9.3837E-13	0.0000E+00
5.8586E-01	1.2121E-01	0.0000E+00	-4.6228E-14	-9.3816E-13	0.0000E+00
6.0606E-01	1.2121E-01	0.0000E+00	0.0000E+00	-9.3809E-13	0.0000E+00
0.0000E+00	1.4141E-01	0.0000E+00	0.0000E+00	-1.0237E-12	0.0000E+00
